timeframe,rank,candidate_start,candidate_end,similarity,current_fingerprint_id,matched_fingerprint_id,matched_pattern_code,before_bullish,matched_bullish,after_bullish,before_range,matched_range,after_range,before_alternation,matched_alternation,after_alternation
1m,1,20590,20609,0.2277370034458535,FP-9E97C4C0DF,FP-4AA562DB0E,BALANCED | EXPANDING | LOWER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.6,0.6,1.1145253980750256,1.0277425475485464,0.8642265318285578,0.6666666666666666,0.3157894736842105,0.4444444444444444
1m,14,29786,29805,0.1995406014649154,FP-9E97C4C0DF,FP-BF94BB1FBE,BALANCED | EXPANDING | UPPER_WICK | DIRECTION_BALANCED | MID_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,0.8,0.55,0.6,1.6839806795002186,1.126288160826466,0.8936247831284657,0.3333333333333333,0.5263157894736842,0.6666666666666666
1m,15,11161,11180,0.19719585149129015,FP-9E97C4C0DF,FP-E2A45F424A,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | LOW_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.5,0.55,0.5,1.0876987112060268,0.9492004044746153,1.4454901494082892,0.6666666666666666,0.2631578947368421,0.3333333333333333
1m,16,6328,6347,0.1970835649573064,FP-9E97C4C0DF,FP-B8EEB7D8B4,BULL_BIASED | STABLE | UPPER_WICK | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.7,0.5,1.211492385155805,0.9139811224934882,1.3667194295641398,0.6666666666666666,0.3684210526315789,0.3333333333333333
1m,17,6332,6351,0.19657197330789256,FP-9E97C4C0DF,FP-E811D839DD,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.6,0.55,0.5,0.9440682380238371,0.9291601076488968,1.4306511720549069,0.5555555555555556,0.42105263157894735,0.3333333333333333
1m,18,15293,15312,0.19651736326416036,FP-9E97C4C0DF,FP-F5D0252F38,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.4,0.6,0.5,1.5007163228924258,1.398212785036721,1.156364022201322,0.5555555555555556,0.5789473684210527,0.3333333333333333
1m,19,22326,22345,0.1959982126353152,FP-9E97C4C0DF,FP-A5206E6D31,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.9,0.5,0.6,0.8662034626892113,0.9232243275058509,0.8309751702419099,0.2222222222222222,0.42105263157894735,0.8888888888888888
1m,20,20435,20454,0.19560309562019873,FP-9E97C4C0DF,FP-3C5FA7EBF4,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,0.7,0.5,0.3,0.8376314595215189,1.694591967712666,1.4200092356235905,0.3333333333333333,0.5789473684210527,0.4444444444444444
1m,21,17266,17285,0.19544380172326437,FP-9E97C4C0DF,FP-8B9AA0C31F,BALANCED | STABLE | WICK_BALANCED | BULL_SHIFT | MID_ALT | LARGE_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.65,0.5,0.8292298650491873,0.9855544503059452,0.764532422136527,0.7777777777777778,0.42105263157894735,0.4444444444444444
1m,22,16888,16907,0.19528382511589723,FP-9E97C4C0DF,FP-5D4682690C,BULL_BIASED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.3,0.7,0.5,0.8481673412827231,0.9532641145284844,0.7795062679413217,0.4444444444444444,0.3157894736842105,0.7777777777777778
1m,23,7576,7595,0.1951703855680882,FP-9E97C4C0DF,FP-B45CB586B0,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.6,0.5,0.4,1.9685607106411838,1.0571471727016026,1.4590510831562353,0.6666666666666666,0.5263157894736842,0.3333333333333333
1m,24,6412,6431,0.19514865620956373,FP-9E97C4C0DF,FP-3F30925A0B,BALANCED | STABLE | LOWER_WICK | BEAR_SHIFT | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.6,0.45,0.5,1.1848834548844989,0.9520614467385966,1.8472063233799525,0.4444444444444444,0.5789473684210527,0.5555555555555556
1m,25,17359,17378,0.1951051768103642,FP-9E97C4C0DF,FP-D17D07CD7C,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | LARGE_BODY | RANGE_STABLE | CLOSE_MID,0.5,0.55,0.5,1.2471886767968239,0.9302188505529374,1.0444856458855967,0.5555555555555556,0.5263157894736842,0.5555555555555556
3m,1,21149,21168,0.3606024429579151,FP-4D23A4A299,FP-22871C4BD2,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.6,0.5,0.4,1.286607440378527,1.0160663506163945,0.8723754568795693,0.4444444444444444,0.6842105263157895,0.6666666666666666
3m,2,6938,6957,0.35843502662239035,FP-4D23A4A299,FP-E39B2AC29C,BEAR_BIASED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.3,0.3,0.6,1.340882248322308,0.8299665774762793,1.0403801486075337,0.3333333333333333,0.47368421052631576,0.6666666666666666
3m,3,6629,6648,0.35641327281381985,FP-4D23A4A299,FP-67EAE762FF,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.5,0.5,0.5,0.7862644139833714,1.053609923037778,1.3691142586066252,0.5555555555555556,0.3684210526315789,0.7777777777777778
3m,4,13910,13929,0.35456339709417184,FP-4D23A4A299,FP-C4C9A7FFB1,BALANCED | STABLE | UPPER_WICK | BULL_SHIFT | LOW_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.6,0.6,0.6,1.13597139651825,0.8567758471879714,1.2941341701791016,0.8888888888888888,0.2631578947368421,0.4444444444444444
3m,5,15843,15862,0.34713643275905137,FP-4D23A4A299,FP-DE6A3D976E,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.5,0.5,0.3,1.205909685282776,0.8446485224452728,0.8555227000810426,0.8888888888888888,0.6842105263157895,0.2222222222222222
3m,6,2223,2242,0.3470751626272191,FP-4D23A4A299,FP-04E606B0C8,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,0.6,0.5,0.6,1.7603724357539268,1.0199179680940973,0.9497521176447619,0.4444444444444444,0.5263157894736842,0.4444444444444444
3m,7,2889,2908,0.34195020811267257,FP-4D23A4A299,FP-66839FC4A6,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.7,0.5,0.6,1.1032912433615372,0.9178139077075185,1.2994488558372637,0.4444444444444444,0.6842105263157895,0.6666666666666666
3m,8,20164,20183,0.341199558578006,FP-4D23A4A299,FP-F2338FA7D1,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.7,0.55,0.5,1.010201903527449,1.0656647869176328,0.8701769501287313,0.5555555555555556,0.47368421052631576,0.2222222222222222
3m,9,717,736,0.3407102767385392,FP-4D23A4A299,FP-F8A8878CF9,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.5,0.4,1.2810856554835517,1.1055947738857825,0.919960691783863,0.4444444444444444,0.5263157894736842,0.3333333333333333
3m,10,24443,24462,0.3394089656411916,FP-4D23A4A299,FP-B2B4A41D85,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,0.5,0.5,0.6,2.0257227032346106,1.3150989805766051,0.42809371029374343,0.7777777777777778,0.631578947368421,0.2222222222222222
3m,11,27104,27123,0.3389083866351877,FP-4D23A4A299,FP-AE6AB0A0B0,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.6,0.35,0.5,1.0611271951998007,0.9775186550581365,1.4542411943185036,0.6666666666666666,0.631578947368421,0.7777777777777778
3m,12,25475,25494,0.3386066452137425,FP-4D23A4A299,FP-0803DD3164,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.6,0.5,0.5,0.7750108185344402,1.147524492084342,1.1465632731134803,0.4444444444444444,0.3684210526315789,0.8888888888888888
3m,13,23834,23853,0.3381004943027936,FP-4D23A4A299,FP-72FAC849C2,BALANCED | STABLE | LOWER_WICK | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.65,0.5,1.247968595942933,0.9836547243797478,1.0076276722080801,0.4444444444444444,0.3684210526315789,0.4444444444444444
3m,14,6340,6359,0.33467721500550995,FP-4D23A4A299,FP-721ED88793,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.5,0.5,1.0454731958589258,0.9032093190087513,1.0988269309563612,0.6666666666666666,0.5263157894736842,0.4444444444444444
3m,15,15844,15863,0.33309803238900393,FP-4D23A4A299,FP-DFFD5B5FE3,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.5,0.5,0.4,1.24083217584386,0.8489025416150963,0.7981357972021934,0.7777777777777778,0.6842105263157895,0.2222222222222222
3m,16,1274,1293,0.3327662024106288,FP-4D23A4A299,FP-A36494396A,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.6,0.55,0.4,1.3732628659295982,0.9622166514929692,1.25208553850115,0.7777777777777778,0.5789473684210527,0.3333333333333333
3m,17,26015,26034,0.3299119250000479,FP-4D23A4A299,FP-F39A91E3FC,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | LARGE_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.5,0.6,1.094283494555104,0.9431245737312137,0.7799367070296327,0.7777777777777778,0.5263157894736842,0.6666666666666666
3m,18,5579,5598,0.329895674256261,FP-4D23A4A299,FP-039AAAD613,BALANCED | STABLE | UPPER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.5,0.6,0.5,1.0684387651963567,0.8651754105650747,1.0388725283734155,0.6666666666666666,0.42105263157894735,0.6666666666666666
3m,19,19556,19575,0.32979472102055435,FP-4D23A4A299,FP-AAA85242DF,BEAR_BIASED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.3,0.6,0.9424741506075491,1.3090462751296161,0.7347007725397257,0.5555555555555556,0.3157894736842105,0.4444444444444444
3m,20,29492,29511,0.32909203104128637,FP-4D23A4A299,FP-CE60082AF6,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.6,0.5,0.6,1.1690263877000924,1.1572393665523257,1.0398141851532283,0.4444444444444444,0.3684210526315789,0.4444444444444444
3m,21,21945,21964,0.32776386960985815,FP-4D23A4A299,FP-004626B0D1,BALANCED | STABLE | UPPER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.6,0.5,0.4,0.9483578389950237,1.2735788595987532,0.9209753934756975,0.4444444444444444,0.42105263157894735,0.6666666666666666
3m,22,22942,22961,0.32686511407789137,FP-4D23A4A299,FP-DE82C99561,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.6,0.5,0.6,0.9308821463950988,1.199177159565301,0.865279142773225,0.5555555555555556,0.47368421052631576,0.3333333333333333
3m,23,1653,1672,0.32663993553775844,FP-4D23A4A299,FP-FCE9AE9491,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.45,0.6,1.1180264856354614,1.058808455121341,0.887503219169739,0.3333333333333333,0.3684210526315789,0.6666666666666666
3m,24,9631,9650,0.32641026383002075,FP-4D23A4A299,FP-857E8BF590,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.9,0.4,1.0,1.6423926565290892,0.8679605855553554,2.042822951253225,0.2222222222222222,0.5263157894736842,0.0
3m,25,72,91,0.32617159514220734,FP-4D23A4A299,FP-4531A9DBEC,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.5,0.5,0.5,0.7230814548115052,0.9997605815336303,1.0629544456021642,0.4444444444444444,0.5789473684210527,0.3333333333333333
5m,1,2183,2202,0.3439495453366893,FP-F0E0054750,FP-E057387548,BULL_BIASED | STABLE | WICK_BALANCED | BULL_SHIFT | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.7,0.5,1.1788021354794223,1.6748973413515849,1.4073148321003475,0.5555555555555556,0.631578947368421,0.5555555555555556
5m,2,14594,14613,0.34254098835346464,FP-F0E0054750,FP-CD0CB0CBD6,BALANCED | STABLE | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.7,0.6,0.7,0.8636974704706588,1.1781723683631686,1.1396910416446109,0.5555555555555556,0.5789473684210527,0.4444444444444444
5m,3,7110,7129,0.34240731157337173,FP-F0E0054750,FP-78F973833B,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.5,0.6,0.5,0.870052009782013,0.900741940821702,2.036418991228238,0.7777777777777778,0.5263157894736842,0.5555555555555556
5m,4,29956,29975,0.3380523925440677,FP-F0E0054750,FP-B1AA7F13F6,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,0.7,0.5,0.7,1.0348888754314518,1.0947913539291734,1.364234214800194,0.3333333333333333,0.5789473684210527,0.3333333333333333
5m,5,17394,17413,0.3367324550645847,FP-F0E0054750,FP-E11D53FB6F,BALANCED | STABLE | LOWER_WICK | BULL_SHIFT | HIGH_ALT | LARGE_BODY | RANGE_STABLE | CLOSE_MID,0.6,0.55,0.6,0.9433215249252382,0.9657321014577904,1.8617753628865543,0.4444444444444444,0.5789473684210527,0.7777777777777778
5m,6,6785,6804,0.33631628590053014,FP-F0E0054750,FP-0AC78C9E45,BALANCED | COMPRESSING | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,0.4,0.5,0.7,1.215044707183137,1.2392159613135545,1.3133102270114734,0.6666666666666666,0.631578947368421,0.5555555555555556
5m,7,16322,16341,0.3350253965947196,FP-F0E0054750,FP-6129A20160,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.5,0.55,0.8,0.9341199809054587,0.7702876092491395,1.079937807204939,0.6666666666666666,0.47368421052631576,0.3333333333333333
5m,8,18018,18037,0.3337767548077475,FP-F0E0054750,FP-E089714DE3,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.6,0.6,1.088349173739248,1.3678197962993721,1.6450744545364278,0.5555555555555556,0.6842105263157895,0.5555555555555556
5m,9,11360,11379,0.3337584141505599,FP-F0E0054750,FP-89CB37C423,BALANCED | EXPANDING | WICK_BALANCED | BULL_SHIFT | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.4,0.65,0.4,0.8801675833680734,1.4131344521060059,0.9019887466856433,0.6666666666666666,0.47368421052631576,0.5555555555555556
5m,10,20403,20422,0.33324386389300414,FP-F0E0054750,FP-53BA99408E,BALANCED | COMPRESSING | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,0.4,0.55,0.5,1.0620731248365591,0.8060518952774579,1.1758535500132958,0.6666666666666666,0.47368421052631576,0.5555555555555556
5m,11,29903,29922,0.3331451535416539,FP-F0E0054750,FP-4199925A86,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,0.5,0.6,0.4,2.284441937548682,0.7553262648345156,0.6532020486616136,0.5555555555555556,0.42105263157894735,0.6666666666666666
5m,12,3572,3591,0.33305563285081974,FP-F0E0054750,FP-646CF9599B,BALANCED | COMPRESSING | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.2,0.65,0.4,1.5635180031881208,0.9174073946981224,1.1408321541092659,0.4444444444444444,0.42105263157894735,0.6666666666666666
5m,13,9503,9522,0.3329739520693674,FP-F0E0054750,FP-383613D78E,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.7,0.55,0.3,0.8926254478862805,1.0675175402337014,1.108317152315128,0.4444444444444444,0.47368421052631576,0.3333333333333333
5m,14,21723,21742,0.33274415557733444,FP-F0E0054750,FP-9D6B78E149,BALANCED | STABLE | LOWER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.6,0.55,0.6,1.6481841344010708,0.7422235478100289,1.8528828645440414,0.6666666666666666,0.47368421052631576,0.5555555555555556
5m,15,12051,12070,0.3323720595941882,FP-F0E0054750,FP-FD0AEF372F,BALANCED | COMPRESSING | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.5,0.6,0.7877331366832828,0.8644862947383792,1.047971651318572,0.4444444444444444,0.6842105263157895,0.7777777777777778
5m,16,29701,29720,0.33189292258970804,FP-F0E0054750,FP-0929C518C0,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.55,0.6,1.1530787213572973,0.9204067492509905,0.8678483988220153,0.4444444444444444,0.5789473684210527,0.8888888888888888
5m,17,6983,7002,0.33149973950723327,FP-F0E0054750,FP-84D91F1839,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,0.3,0.5,0.5,0.7842675034643123,1.374523543429713,0.9333074533256523,0.3333333333333333,0.3157894736842105,0.7777777777777778
5m,18,14348,14367,0.3309381342093979,FP-F0E0054750,FP-E95D81E8DF,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,0.6,0.5,0.3,0.841843231213581,0.9476002499651406,1.046782872904949,0.6666666666666666,0.42105263157894735,0.5555555555555556
5m,19,5487,5506,0.33055206331866166,FP-F0E0054750,FP-D5716D70D9,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.7,0.65,0.4,1.5212141160799821,1.3411714028814794,0.9326832362130139,0.5555555555555556,0.631578947368421,0.5555555555555556
5m,20,12953,12972,0.330489306446293,FP-F0E0054750,FP-E2CB786E27,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.6,0.5,0.4,2.339521636117803,1.0536076947012067,1.7370249333485996,0.4444444444444444,0.6842105263157895,0.3333333333333333
5m,21,25849,25868,0.3304885537188537,FP-F0E0054750,FP-1709FAA2BD,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.65,0.4,0.9208083843241246,0.8081205286670631,0.9647278873361215,0.5555555555555556,0.5789473684210527,0.3333333333333333
5m,22,22326,22345,0.3304181601339829,FP-F0E0054750,FP-FA9AEBA037,BALANCED | COMPRESSING | WICK_BALANCED | BULL_SHIFT | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,0.5,0.6,0.5,0.9576627591613729,1.1448774883383466,1.5416220775020342,0.4444444444444444,0.5789473684210527,0.5555555555555556
5m,23,2315,2334,0.32950854741948943,FP-F0E0054750,FP-9A4CB9E549,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.6,0.65,0.5,1.0400399015880244,0.9973615953874029,1.3245206387741442,0.7777777777777778,0.5789473684210527,0.3333333333333333
5m,24,20074,20093,0.32945723866436916,FP-F0E0054750,FP-8CA9CB6141,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,0.6,0.55,0.6,1.3068676811966093,1.4014399114638947,0.7801112957328626,0.5555555555555556,0.631578947368421,0.4444444444444444
5m,25,18360,18379,0.32945085309919186,FP-F0E0054750,FP-57229C4738,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,0.2,0.55,0.7,1.1334468535551754,0.893479814751539,1.1015856578219583,0.3333333333333333,0.631578947368421,0.5555555555555556
15m,1,14991,15010,0.3768985653935664,FP-26534D885B,FP-E70854DEE4,BULL_BIASED | EXPANDING | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.6,0.7,0.5,0.8834042446540126,1.5726422961090651,0.7482533592919067,0.6666666666666666,0.5789473684210527,0.5555555555555556
